Posição 1,Posição 2,Posição 3,Posição 4,Posição 5,Posição 6,Posição 7,Posição 8,Posição 9,Posição 10,Posição 11,Posição 12,Posição 13,Posição 14,Posição 15,Posição 16,Posição 17,Posição 18,Posição 19,Posição 20,Posição 21,Posição 22,Posição 23,Posição 24,Posição 25,Posição 26,Posição 27,Posição 28,Posição 29,Posição 30,Posição 31,Posição 32,Posição 33,Posição 34,Posição 35,Posição 36,Posição 37,Posição 38,Posição 39,Posição 40,Posição 41,Posição 42,Melhor jogada,Probabilidade de vitória (%)
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,,,5,31.72720533728688
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,O,,4,51.191391237509606
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,X,,,,O,X,X,X,O,,4,24.321201617562103
,,,,,,,,,,,,,,,,,,,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,4,62.87364130434783
,,,,,,,,,,,,,,,,,,X,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,1,13.961330935251798
,,,,,,,,,,,,,,,,,,X,,,,,O,,O,,,,O,X,O,X,,,,O,X,X,X,O,,1,72.19251336898395
,,,,,,,,,,,,,,,,,,X,,,,X,O,,O,,,,O,X,O,X,,,,O,X,X,X,O,,2,25.564516129032256
,,,,,,,,,,,,,,,,O,,X,,,,X,O,,O,,,,O,X,O,X,,,,O,X,X,X,O,,2,70.85383502170767
,,,,,,,,,X,,,,,,,O,,X,,,,X,O,,O,,,,O,X,O,X,,,,O,X,X,X,O,,3,21.428571428571427
,,,,,,,,,X,,,,,,,O,,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,3,67.98219584569732
,,,,,,,,,X,,,,,,,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,1,27.227569077926113
,,,,,,,,,X,,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,3,69.92430988423864
,,,,,,,,,X,X,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,1,23.40556009811938
,,,,,,,,O,X,X,,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,4,81.4730976841372
,,,,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,3,24.31592959621358
,,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,,O,X,X,X,O,,0,75.11148272017837
,,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,,6,32.23419995772564
,,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,,O,X,O,X,,,X,O,X,X,X,O,O,0,36.46486964206805
,,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,,X,O,X,X,X,O,O,6,85.2363782051282
,,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,O,X,O,X,X,X,O,O,1,7.9532314017730945
,X,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,,X,O,X,O,X,,O,X,O,X,X,X,O,O,6,94.78318780523901
,X,,O,,,,,O,X,X,X,,,,O,O,X,X,,,,X,O,O,O,,O,X,O,X,O,X,,O,X,O,X,X,X,O,O,6,2.447748990750677
,X,,O,,,,,O,X,X,X,,,,O,O,X,X,,X,,X,O,O,O,,O,X,O,X,O,X,,O,X,O,X,X,X,O,O,6,97.91885091214091
,X,,O,,,,,O,X,X,X,,O,,O,O,X,X,,X,,X,O,O,O,,O,X,O,X,O,X,,O,X,O,X,X,X,O,O,6,1.1085626911314985
,X,,O,,,X,,O,X,X,X,,O,,O,O,X,X,,X,,X,O,O,O,,O,X,O,X,O,X,,O,X,O,X,X,X,O,O,4,99.61231962093474
,X,,O,O,,X,,O,X,X,X,,O,,O,O,X,X,,X,,X,O,O,O,,O,X,O,X,O,X,,O,X,O,X,X,X,O,O,2,0.21145807720678633
,X,X,O,O,,X,,O,X,X,X,,O,,O,O,X,X,,X,,X,O,O,O,,O,X,O,X,O,X,,O,X,O,X,X,X,O,O,0,100.0
,X,X,O,O,,X,,O,X,X,X,,O,,O,O,X,X,,X,O,X,O,O,O,,O,X,O,X,O,X,,O,X,O,X,X,X,O,O,0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20.77294685990338
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,3,27.42616033755274
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,,,,2,15.695415695415695
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,X,X,,,,1,63.24985439720443
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,O,X,X,,,,2,24.617431803060548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,O,,,,,O,X,X,,,,2,48.55769230769231
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,,,,4,42.32
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,,,5,33.88235294117647
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,,,,,O,X,X,X,O,,4,51.71835708298408
,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,X,O,X,,,,O,X,X,X,O,,4,21.56348373557188
,,,,,,,,,,,,,,,,,,,,,,,O,,O,,,,,X,O,X,,,,O,X,X,X,O,,4,62.964285714285715
